Tract,Income
5350411.21,27989.0
5350411.22,33097.0
5350411.23,32884.0
5350411.24,21198.0
5350411.25,28378.0
5350411.26,37584.0
5350411.27,34197.0
5350411.28,40576.0
5350411.29,37344.0
5350411.30,40205.0
5350412.01,33931.0
5350412.02,35104.0
5350412.04,34381.0
5350412.06,32043.0
5350412.08,29495.0
5350412.10,29355.0
5350412.11,36288.0
5350412.12,32704.0
5350412.13,33692.0
5350412.14,44629.0
5350412.15,44908.0
5350412.18,42656.0
5350412.19,37589.0
5350412.20,37283.0
5350412.21,
5350412.22,38839.0
5350412.24,34119.0
5350412.25,34267.0
5350412.26,34928.0
5350413.01,47293.0
5350413.02,41195.0
5350420.03,25395.0
5350420.05,25031.0
5350420.06,26464.0
5350420.08,26770.0
5350420.09,25192.0
5350420.10,29511.0
5350420.11,33262.0
5350420.13,31155.0
5350420.14,31104.0
5350420.15,23360.0
5350421.01,34328.0
5350421.04,29184.0
5350421.05,35310.0
5350421.06,28864.0
5350421.07,34637.0
5350422.02,24101.0
5350422.03,30528.0
5350422.04,26768.0
5350422.05,24000.0
5350422.06,23509.0
5350423.01,38869.0
5350423.02,34042.0
5350424.04,30347.0
5350424.05,24683.0
5350424.07,30368.0
5350424.08,31077.0
5350424.09,32085.0
5350424.10,41679.0
5350424.11,34193.0
5350424.13,34624.0
5350424.14,36788.0
5350424.15,31392.0
5350424.16,32838.0
5350430.03,40393.0
5350430.05,41728.0
5350430.06,41685.0
5350430.07,40206.0
5350430.08,38924.0
5350431.01,43443.0
5350431.02,39450.0
5350440.00,43109.0
5350441.02,35232.0
5350441.03,40341.0
5350441.04,41324.0
5350442.02,32528.0
5350442.03,46544.0
5350442.04,40804.0
5350442.05,42077.0
5350442.06,40852.0
5350450.02,34688.0
5350450.03,36928.0
5350450.05,38656.0
5350450.06,38784.0
5350451.01,31360.0
5350451.02,34332.0
5350451.03,34355.0
5350451.05,38891.0
5350451.06,37552.0
5350451.07,41216.0
5350452.01,36032.0
5350452.02,30546.0
5350452.03,35560.0
5350452.05,36160.0
5350452.06,35639.0
5350452.07,40388.0
5350455.00,41789.0
5350456.01,42944.0
5350456.02,39279.0
5350456.03,38579.0
5350460.01,45888.0
5350460.02,36082.0
5350461.01,45952.0
5350461.02,42415.0
