Tract,Income
5350576.56,82.9
5350576.57,97.3
5350576.58,88.5
5350576.59,83.9
5350576.60,85.9
5350576.61,87.3
5350576.62,76.7
5350576.63,88.6
5350576.64,85.1
5350576.65,86.7
5350576.66,81.0
5350576.67,81.7
5350576.68,83.5
5350576.69,83.0
5350576.70,108.8
5350576.71,100.6
5350576.72,104.4
5350585.02,129.3
5350585.03,131.6
5350585.05,148.7
5350585.07,144.9
5350585.08,146.0
5350585.09,132.9
5350585.10,128.1
5350586.01,133.0
5350586.02,126.8
5350587.01,147.9
5350587.02,149.1
5350590.00,104.4
5350591.01,142.5
5350591.02,128.7
5350592.01,112.5
5350592.02,142.8
5350593.00,139.5
5350600.01,178.4
5350600.02,131.3
5350601.00,172.3
5350602.00,194.0
5350603.00,100.5
5350604.00,170.8
5350605.00,173.7
5350606.00,100.6
5350607.00,134.1
5350608.00,109.0
5350609.00,154.1
5350610.02,169.5
5350610.03,143.4
5350610.04,130.1
5350611.00,140.2
5350612.01,
5350612.03,130.6
5350612.05,135.3
5350612.08,115.8
5350612.10,
5350612.11,152.9
5350612.12,140.1
5350612.13,147.4
5350612.14,134.2
5350612.15,172.8
5350612.18,158.3
5350612.19,141.6
5350612.20,158.8
5350612.21,153.3
5350612.22,166.6
5350612.23,151.3
5350612.24,155.1
5350612.25,144.3
5350612.26,148.8
5350612.27,137.1
5350613.01,127.9
5350613.03,105.7
5350613.04,90.5
5350614.01,150.5
5350614.02,142.9
5350615.00,143.6
5350620.01,141.5
5350620.05,157.0
5350620.06,137.4
5350620.07,156.8
5350620.08,139.7
5350620.09,148.2
5350620.10,145.8
5350620.11,146.8
5350620.12,142.9
5350620.13,122.0
5350621.00,151.2
5350622.00,135.8
5350623.00,120.0
5350624.00,136.3
5350625.00,128.9
5350626.00,145.4
5350630.00,121.3
5350631.02,165.1
5350631.03,174.4
5350631.04,179.9
5350632.00,138.1
5350633.00,148.7
5350634.01,166.9
5350634.02,131.1
5350635.00,133.2
5350636.00,145.6
5350637.00,140.9
5350638.00,130.2
5350639.00,143.3
5350800.01,132.1
5350800.02,114.4
5350801.01,127.8
5350801.02,146.0
5350802.01,130.5
5350802.02,153.9
5350803.03,125.6
5350803.04,142.5
5350803.05,144.6
5350803.06,127.5
5350804.01,144.1
5350804.05,142.5
5350804.06,126.3
5350804.07,106.9
5350804.08,144.6
5350804.10,122.9
5350804.11,101.3
5350804.12,122.5
5350804.13,94.1
5350805.04,176.0
5350805.06,101.9
5350805.09,106.8
5350805.10,119.5
5350805.12,116.7
5350805.14,134.3
5350805.15,111.9
5350805.16,109.0
5350805.17,110.2
5350805.18,115.5
5350805.19,116.0
5350805.20,117.5
5350805.21,114.4
5350806.00,136.0
5350807.00,131.3
5350810.01,97.8
5350810.02,118.3
5350810.03,137.8
5350810.04,123.8
5350810.05,149.9
5350811.00,106.5
5350812.00,116.5
5350820.03,121.5
5350820.04,108.5
5350820.05,131.1
5350820.06,118.0
5350820.07,129.3
5350830.00,128.7
5350831.01,137.4
5350831.02,131.4
5350832.00,128.1
